Diord_H,Diord_C,Nealb_H,Nealb_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Pecri_H,Pecri_C,Peman_H,Peman_C,Petru_H,Petru_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Nocra_H,Nocra_C,Socin_H,Socin_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimog_H,Mimog_C,Mimon_H,Mimon_C,Phint_H,Phint_C,Amleu_H,Amleu_C,Calat_H,Calat_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taruf_H,Taruf_C,Xespi_H,Xespi_C
,,,,,,,2485,,1796,,,2057,1488,2285,1715,,,,,,,,,,,,3246,,,,3228,,,,,,3215,,,,,,3239,,,,,,2570,,,,,,,,,2819,2243,,,,,,
,,,,,,,,,1796,,,2057,1488,2285,1715,,,,,,,,,,,,3246,,,,3230,,,,,,3228,,,,,,3239,,,,,,2570,,,,,,,,,2827,2243,,,,,,
,,,,,,,,,1796,,,2057,1488,2325,1715,,,,,,,,,,,,3246,,,,3233,,,,,,3228,,,,,,3401,,,,,,2570,,,,,,,,,2827,2244,,,,,,
,,,,,,,,,1796,,,2058,1488,2325,1715,,,,,,,,,,,,3246,,,,3280,,,,,,3228,,,,,,3401,,,,,,2608,,,,,,,,,2827,2244,,,,,,
,,,,,,,,,1838,,,2058,1488,2325,1715,,,,,,,,,,,,3246,,,,3359,,,,,,3228,,,,,,3401,,,,,,2882,,,,,,,,,2827,2244,,,,,,
,,,,,,,,,1838,,,2058,1488,2346,1715,,,,,,,,,,,,3246,,,,3360,,,,,,3228,,,,,,3401,,,,,,3084,,,,,,,,,2827,2244,,,,,,
,,,,,,,,,1838,,,2058,1488,2346,1715,,,,,,,,,,,,3273,,,,3360,,,,,,3228,,,,,,3401,,,,,,3243,,,,,,,,,2827,2244,,,,,,
,,,,,,,,,1838,,,2058,1488,2347,1715,,,,,,,,,,,,3273,,,,3360,,,,,,3228,,,,,,3401,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,1838,,,2058,1488,2354,1715,,,,,,,,,,,,3360,,,,3360,,,,,,3228,,,,,,3401,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,1838,,,2058,1488,2354,1715,,,,,,,,,,,,3360,,,,3377,,,,,,3235,,,,,,3401,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,1983,,,2063,1488,2354,1715,,,,,,,,,,,,3360,,,,3377,,,,,,3239,,,,,,3401,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,1987,,,2063,1488,2354,1715,,,,,,,,,,,,3375,,,,3377,,,,,,3239,,,,,,3408,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,1999,,,2063,1490,,1715,,,,,,,,,,,,3377,,,,3379,,,,,,3480,,,,,,3408,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,2153,,,2070,1491,,1715,,,,,,,,,,,,3380,,,,3380,,,,,,3491,,,,,,3415,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,2153,,,2070,1491,,1715,,,,,,,,,,,,3380,,,,3380,,,,,,3500,,,,,,3510,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,2162,,,2070,1491,,1715,,,,,,,,,,,,3380,,,,3383,,,,,,3500,,,,,,3519,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,2227,,,2070,1491,,1716,,,,,,,,,,,,3380,,,,3384,,,,,,3500,,,,,,3519,,,,,,,,,,,,,,,2827,2245,,,,,,
,,,,,,,,,2234,,,2070,1491,,1716,,,,,,,,,,,,3383,,,,3385,,,,,,3500,,,,,,3519,,,,,,,,,,,,,,,2827,2246,,,,,,
,,,,,,,,,2400,,,2072,1491,,1719,,,,,,,,,,,,3383,,,,3385,,,,,,3530,,,,,,,,,,,,,,,,,,,,,2827,2246,,,,,,
,,,,,,,,,2499,,,2072,1491,,1719,,,,,,,,,,,,3384,,,,3388,,,,,,3530,,,,,,,,,,,,,,,,,,,,,2827,2246,,,,,,
,,,,,,,,,2499,,,2072,1491,,1719,,,,,,,,,,,,3384,,,,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,2246,,,,,,
,,,,,,,,,2499,,,2072,1491,,1719,,,,,,,,,,,,3385,,,,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,2246,,,,,,
,,,,,,,,,2499,,,2072,1491,,1721,,,,,,,,,,,,3385,,,,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,2246,,,,,,
,,,,,,,,,2510,,,2102,1491,,1721,,,,,,,,,,,,3388,,,,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,2252,,,,,,
,,,,,,,,,1482,,,2102,1491,,1721,,,,,,,,,,,,3393,,,,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,2252,,,,,,
,,,,,,,,,1483,,,2102,1491,,1721,,,,,,,,,,,,3394,,,,3390,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2260,,,,,,
,,,,,,,,,1488,,,2102,1491,,1721,,,,,,,,,,,,3394,,,,3390,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2262,,,,,,
,,,,,,,,,1952,,,2102,1491,,1721,,,,,,,,,,,,3395,,,,3390,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2265,,,,,,
,,,,,,,,,1955,,,2102,1491,,1721,,,,,,,,,,,,3395,,,,3394,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2266,,,,,,
,,,,,,,,,1980,,,2102,1491,,1721,,,,,,,,,,,,3395,,,,3394,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2271,,,,,,
,,,,,,,,,1980,,,2102,1491,,1721,,,,,,,,,,,,3396,,,,3394,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2296,,,,,,
,,,,,,,,,1992,,,2102,1492,,1721,,,,,,,,,,,,3399,,,,3395,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2328,,,,,,
,,,,,,,,,1992,,,2102,1492,,1721,,,,,,,,,,,,3401,,,,3395,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2331,,,,,,
,,,,,,,,,,,,2102,1492,,1721,,,,,,,,,,,,3401,,,,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2331,,,,,,
,,,,,,,,,,,,2103,1492,,1721,,,,,,,,,,,,3403,,,,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2331,,,,,,
,,,,,,,,,,,,2103,1492,,1721,,,,,,,,,,,,3403,,,,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2334,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3403,,,,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2334,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3429,,,,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2334,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3503,,,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2334,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3508,,,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2334,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3508,,,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2334,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3513,,,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3513,,,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3514,,,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1492,,1723,,,,,,,,,,,,3514,,,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3518,,,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3518,,,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3518,,,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3518,,,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3519,,,,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3520,,,,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2103,1493,,1723,,,,,,,,,,,,3521,,,,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,2865,2335,,,,,,
,,,,,,,,,,,,2110,1493,,1723,,,,,,,,,,,,3521,,,,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,2896,2335,,,,,,
,,,,,,,,,,,,2111,1493,,1723,,,,,,,,,,,,3521,,,,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,2982,2335,,,,,,
,,,,,,,,,,,,2111,1493,,1723,,,,,,,,,,,,,,,,3403,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,2335,,,,,,
,,,,,,,,,,,,2111,1493,,1723,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,2335,,,,,,
,,,,,,,,,,,,2115,1494,,1725,,,,,,,,,,,,,,,,3503,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,2335,,,,,,
,,,,,,,,,,,,2115,1494,,1725,,,,,,,,,,,,,,,,3508,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,2335,,,,,,
,,,,,,,,,,,,2115,1494,,1725,,,,,,,,,,,,,,,,3508,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,2338,,,,,,
