county,el,sp
Big Thompson,1723,Nemex
Big Thompson,1723,Nemex
Big Thompson,1723,Nemex
Big Thompson,1723,Nemex
Big Thompson,1725,Nemex
Big Thompson,1725,Nemex
Big Thompson,1725,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1726,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1728,Nemex
Big Thompson,1729,Nemex
Big Thompson,1729,Nemex
Big Thompson,1734,Nemex
Big Thompson,1734,Nemex
Big Thompson,1734,Nemex
Big Thompson,1737,Nemex
Larimer,1750,Nemex
Boulder,1793,Nemex
Boulder,1807,Nemex
Boulder,1807,Nemex
Boulder,1815,Nemex
Boulder,1815,Nemex
Boulder,1820,Nemex
Boulder,1820,Nemex
Boulder,1820,Nemex
Boulder,1820,Nemex
Boulder,1902,Nemex
Larimer,1918,Nemex
Larimer,1918,Nemex
Boulder,1919,Nemex
Larimer,1921,Nemex
Larimer,1939,Nemex
Larimer,1941,Nemex
Larimer,1941,Nemex
Larimer,1942,Nemex
Big Thompson,2149,Nemex
Larimer,2155,Nemex
Larimer,2155,Nemex
Larimer,2155,Nemex
Larimer,2160,Nemex
Larimer,2160,Nemex
Big Thompson,2181,Nemex
Big Thompson,2181,Nemex
Boulder,2187,Nemex
Boulder,2187,Nemex
West San Juans,1715,Nemex
West San Juans,1715,Nemex
West San Juans,1719.3333333333333,Nemex
West San Juans,1721.3333333333333,Nemex
West San Juans,1721.3333333333333,Nemex
West San Juans,1722.6666666666667,Nemex
Montezuma,1750,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1787.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
East San Juans,1788.3333333333333,Nemex
